reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
grow,crow,grow,"{'mean_confidence': 0.9421884417533875, 'min_confidence': 0.47012394666671753, 'max_confidence': 0.9999935626983643}","{'mean_confidence': 0.9925771355628967, 'min_confidence': 0.7995643615722656, 'max_confidence': 0.9999974966049194}",1.5,1.428125,1.0,0.0,"{'original_duration': 1.5, 'adjusted_duration': 1.428125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.26025, 'total_adjusted_duration': 1.3657672714124476, 'tempo_ratio': 0.922741397}, 'gcl': {'count': 1, 'total_original_duration': 1.149625, 'total_adjusted_duration': 1.092715192949888, 'tempo_ratio': 1.052081098}, 'g': {'count': 1, 'total_original_duration': 0.1703125, 'total_adjusted_duration': 0.14593956069551717, 'tempo_ratio': 1.167007076}, 'r': {'count': 1, 'total_original_duration': 0.2299375, 'total_adjusted_duration': 0.20742443617660852, 'tempo_ratio': 1.108536218}, 'ow': {'count': 1, 'total_original_duration': 1.3071875, 'total_adjusted_duration': 1.1906133210254506, 'tempo_ratio': 1.097911032}}}",0006.wav
feed,fed,fed,"{'mean_confidence': 0.9927374124526978, 'min_confidence': 0.9310270547866821, 'max_confidence': 0.9999927282333374}","{'mean_confidence': 0.9863333106040955, 'min_confidence': 0.8269003629684448, 'max_confidence': 0.9999921321868896}",1.05,0.9573125,1.0,1.0,"{'original_duration': 1.05, 'adjusted_duration': 0.9573125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 0.6706875000000001, 'total_adjusted_duration': 0.726842322432403, 'tempo_ratio': 0.922741397}, 'f': {'count': 1, 'total_original_duration': 0.56625, 'total_adjusted_duration': 0.47865142862324794, 'tempo_ratio': 1.183011198}, 'iy': {'count': 1, 'total_original_duration': 1.207125, 'total_adjusted_duration': 0.9556163228009296, 'tempo_ratio': 1.263190018}, 'dcl': {'count': 1, 'total_original_duration': 0.172875, 'total_adjusted_duration': 0.16495979156250404, 'tempo_ratio': 1.047982653}, 'd': {'count': 1, 'total_original_duration': 0.26225, 'total_adjusted_duration': 0.2146035628832931, 'tempo_ratio': 1.222020718}}}",0007.wav
alpha,oh foul,o fo,"{'mean_confidence': 0.948347270488739, 'min_confidence': 0.4889058768749237, 'max_confidence': 0.9999953508377075}","{'mean_confidence': 0.9043067097663879, 'min_confidence': 0.43278685212135315, 'max_confidence': 0.999885082244873}",1.35,1.2725,2.0,2.0,"{'original_duration': 1.35, 'adjusted_duration': 1.2725, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.103625, 'total_adjusted_duration': 1.1960284903095117, 'tempo_ratio': 0.922741397}, 'ae': {'count': 1, 'total_original_duration': 0.7089375, 'total_adjusted_duration': 0.5660400385035376, 'tempo_ratio': 1.252451155}, 'l': {'count': 1, 'total_original_duration': 0.264375, 'total_adjusted_duration': 0.21847675146266643, 'tempo_ratio': 1.210082987}, 'f': {'count': 2, 'total_original_duration': 0.87375, 'total_adjusted_duration': 0.7385813435047468, 'tempo_ratio': 1.183011198}, 'ah': {'count': 1, 'total_original_duration': 0.7510625, 'total_adjusted_duration': 0.4730173549795942, 'tempo_ratio': 1.58781172}}}",0008.wav
pat,part,pot,"{'mean_confidence': 0.9985278248786926, 'min_confidence': 0.9227942824363708, 'max_confidence': 0.9999991655349731}","{'mean_confidence': 0.9981281161308289, 'min_confidence': 0.9556726813316345, 'max_confidence': 0.9999958276748657}",1.5,1.280125,1.0,1.0,"{'original_duration': 1.5, 'adjusted_duration': 1.280125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.8095625, 'total_adjusted_duration': 1.9610721984330786, 'tempo_ratio': 0.922741397}, 'pcl': {'count': 1, 'total_original_duration': 0.9111875, 'total_adjusted_duration': 0.6832922515853624, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.332125, 'total_adjusted_duration': 0.24610666079872806, 'tempo_ratio': 1.349516502}, 'ae': {'count': 1, 'total_original_duration': 0.83875, 'total_adjusted_duration': 0.6696867950910229, 'tempo_ratio': 1.252451155}, 't': {'count': 1, 'total_original_duration': 0.2256875, 'total_adjusted_duration': 0.19126022577378657, 'tempo_ratio': 1.180002267}}}",0009.wav
farm,for im,sor im,"{'mean_confidence': 0.9341943264007568, 'min_confidence': 0.3115438222885132, 'max_confidence': 0.9999762773513794}","{'mean_confidence': 0.9274123907089233, 'min_confidence': 0.4245556890964508, 'max_confidence': 0.999985933303833}",1.65,1.6069375,2.0,2.0,"{'original_duration': 1.65, 'adjusted_duration': 1.6069375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.9249375, 'total_adjusted_duration': 2.08610723032295, 'tempo_ratio': 0.922741397}, 'f': {'count': 1, 'total_original_duration': 0.946125, 'total_adjusted_duration': 0.7997599698122215, 'tempo_ratio': 1.183011198}, 'aa': {'count': 1, 'total_original_duration': 0.58075, 'total_adjusted_duration': 0.4487444609827266, 'tempo_ratio': 1.294166392}, 'r': {'count': 1, 'total_original_duration': 0.6323125, 'total_adjusted_duration': 0.5704031043214864, 'tempo_ratio': 1.108536218}, 'm': {'count': 1, 'total_original_duration': 0.4449375, 'total_adjusted_duration': 0.35981173005429934, 'tempo_ratio': 1.236584199}}}",0010.wav
sip,sir,sir,"{'mean_confidence': 0.9999925494194031, 'min_confidence': 0.9998834133148193, 'max_confidence': 0.9999997615814209}","{'mean_confidence': 0.9999864101409912, 'min_confidence': 0.999722421169281, 'max_confidence': 0.9999997615814209}",1.95,1.949375,1.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.949375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.3690625, 'total_adjusted_duration': 2.567417596850269, 'tempo_ratio': 0.922741397}, 's': {'count': 1, 'total_original_duration': 1.4115, 'total_adjusted_duration': 1.1640294590348867, 'tempo_ratio': 1.212598177}, 'ih': {'count': 1, 'total_original_duration': 0.608875, 'total_adjusted_duration': 0.49122497448165425, 'tempo_ratio': 1.239503347}, 'pcl': {'count': 1, 'total_original_duration': 0.631, 'total_adjusted_duration': 0.47318187612359, 'tempo_ratio': 1.333525293}, 'p': {'count': 1, 'total_original_duration': 0.332125, 'total_adjusted_duration': 0.24610666079872806, 'tempo_ratio': 1.349516502}}}",0012.wav
dagger,day o go,day go,"{'mean_confidence': 0.9417811036109924, 'min_confidence': 0.3315598666667938, 'max_confidence': 0.9999722242355347}","{'mean_confidence': 0.9508642554283142, 'min_confidence': 0.5004627108573914, 'max_confidence': 0.9999715089797974}",1.95,1.8965625,3.0,2.0,"{'original_duration': 1.95, 'adjusted_duration': 1.8965625, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.4115, 'total_adjusted_duration': 1.5296810185270142, 'tempo_ratio': 0.922741397}, 'dcl': {'count': 1, 'total_original_duration': 1.821125, 'total_adjusted_duration': 1.7377434586219245, 'tempo_ratio': 1.047982653}, 'd': {'count': 1, 'total_original_duration': 0.19925, 'total_adjusted_duration': 0.16304960878740193, 'tempo_ratio': 1.222020718}, 'ae': {'count': 1, 'total_original_duration': 0.415125, 'total_adjusted_duration': 0.33145005163894, 'tempo_ratio': 1.252451155}, 'g': {'count': 1, 'total_original_duration': 0.548, 'total_adjusted_duration': 0.46957727272597966, 'tempo_ratio': 1.167007076}, 'er': {'count': 1, 'total_original_duration': 0.9575625, 'total_adjusted_duration': 0.7002700847698579, 'tempo_ratio': 1.36741883}}}",0014.wav
rain,rand,rand,"{'mean_confidence': 0.9728230237960815, 'min_confidence': 0.50799959897995, 'max_confidence': 0.9999994039535522}","{'mean_confidence': 0.9563471078872681, 'min_confidence': 0.435718834400177, 'max_confidence': 0.9999973773956299}",1.95,1.8895,1.0,1.0,"{'original_duration': 1.95, 'adjusted_duration': 1.8895, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.762125, 'total_adjusted_duration': 2.9933901404880827, 'tempo_ratio': 0.922741397}, 'r': {'count': 1, 'total_original_duration': 0.5866875, 'total_adjusted_duration': 0.5292452248953042, 'tempo_ratio': 1.108536218}, 'ey': {'count': 1, 'total_original_duration': 0.58125, 'total_adjusted_duration': 0.5084315088699802, 'tempo_ratio': 1.14322183}, 'n': {'count': 1, 'total_original_duration': 1.4225, 'total_adjusted_duration': 1.1675769595958956, 'tempo_ratio': 1.218335107}}}",0015.wav
fair,farure,faire,"{'mean_confidence': 0.9597116112709045, 'min_confidence': 0.5354521870613098, 'max_confidence': 0.9999717473983765}","{'mean_confidence': 0.9498018622398376, 'min_confidence': 0.48517805337905884, 'max_confidence': 0.999997615814209}",1.2,1.1111875,1.0,1.0,"{'original_duration': 1.2, 'adjusted_duration': 1.1111875, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.5839375, 'total_adjusted_duration': 1.716556236828291, 'tempo_ratio': 0.922741397}, 'f': {'count': 1, 'total_original_duration': 0.528, 'total_adjusted_duration': 0.44631868311359807, 'tempo_ratio': 1.183011198}, 'eh': {'count': 1, 'total_original_duration': 0.476875, 'total_adjusted_duration': 0.3670105681073085, 'tempo_ratio': 1.299349505}, 'r': {'count': 1, 'total_original_duration': 0.7050625, 'total_adjusted_duration': 0.6360301887763852, 'tempo_ratio': 1.108536218}}}",0016.wav
feet,sesment,e areson it,"{'mean_confidence': 0.8169652819633484, 'min_confidence': 0.30194029211997986, 'max_confidence': 0.994959831237793}","{'mean_confidence': 0.7601659893989563, 'min_confidence': 0.25269073247909546, 'max_confidence': 0.9955287575721741}",1.2,0.9711875,1.0,3.0,"{'original_duration': 1.2, 'adjusted_duration': 0.9711875, 'phoneme_stats': {'f': {'count': 1, 'total_original_duration': 0.395125, 'total_adjusted_duration': 0.33399937436602356, 'tempo_ratio': 1.183011198}, 'iy': {'count': 1, 'total_original_duration': 1.2194375, 'total_adjusted_duration': 0.9653634707553554, 'tempo_ratio': 1.263190018}, 'tcl': {'count': 1, 'total_original_duration': 0.71875, 'total_adjusted_duration': 0.6565026027919121, 'tempo_ratio': 1.09481668}, 't': {'count': 1, 'total_original_duration': 0.3815, 'total_adjusted_duration': 0.32330446361761095, 'tempo_ratio': 1.180002267}, 'noi': {'count': 1, 'total_original_duration': 0.5790625, 'total_adjusted_duration': 0.6275458128167193, 'tempo_ratio': 0.922741397}}}",0017.wav
