reference_text,original_transcription,adjusted_transcription,original_confidence,adjusted_confidence,original_duration,adjusted_duration,original_wer,adjusted_wer,phoneme_analysis,wav_file
SAY AH P EEE REPEATEDLY,HAPE HPE HAPE HAPY,AI ABI ABI ABI,"{'mean_confidence': 0.9737533330917358, 'min_confidence': 0.4818417727947235, 'max_confidence': 0.9999969005584717}","{'mean_confidence': 0.9816334843635559, 'min_confidence': 0.599311351776123, 'max_confidence': 0.9999983310699463}",5.56,4.3368125,1.0,1.0,"{'original_duration': 5.56, 'adjusted_duration': 4.3368125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.05, 'total_adjusted_duration': 1.944641575237841, 'tempo_ratio': 1.05417884}, 'sil': {'count': 4, 'total_original_duration': 0.8925000000000001, 'total_adjusted_duration': 0.8925000000000001, 'tempo_ratio': 1.0}, 'ah': {'count': 4, 'total_original_duration': 0.9225, 'total_adjusted_duration': 0.43516216691044973, 'tempo_ratio': 2.119899362}, 'pcl': {'count': 4, 'total_original_duration': 0.24000000000000005, 'total_adjusted_duration': 0.14376192565074078, 'tempo_ratio': 1.66942672}, 'p': {'count': 4, 'total_original_duration': 0.2525, 'total_adjusted_duration': 0.15421014249341466, 'tempo_ratio': 1.637376089}, 'iy': {'count': 4, 'total_original_duration': 1.1925, 'total_adjusted_duration': 0.7666094303101673, 'tempo_ratio': 1.555550914}}}",0001.wav
SAY EEE P AH REPEATEDLY,YE PEAYE PEAYEPEAYE PE,YE BE ABE ABE ABE,"{'mean_confidence': 0.9410287141799927, 'min_confidence': 0.3303912580013275, 'max_confidence': 0.9999936819076538}","{'mean_confidence': 0.925499439239502, 'min_confidence': 0.41385358572006226, 'max_confidence': 0.9999904632568359}",6.155,4.1030625,1.0,1.0,"{'original_duration': 6.155, 'adjusted_duration': 4.1030625, 'phoneme_stats': {'sil': {'count': 3, 'total_original_duration': 1.0975000000000001, 'total_adjusted_duration': 1.0975000000000001, 'tempo_ratio': 1.0}, 'noi': {'count': 1, 'total_original_duration': 0.3575, 'total_adjusted_duration': 0.3391265186085503, 'tempo_ratio': 1.05417884}, 'iy': {'count': 8, 'total_original_duration': 2.2350000000000003, 'total_adjusted_duration': 1.4367900014618231, 'tempo_ratio': 1.555550914}, 'pcl': {'count': 4, 'total_original_duration': 0.295, 'total_adjusted_duration': 0.1767073669457022, 'tempo_ratio': 1.66942672}, 'p': {'count': 4, 'total_original_duration': 0.245, 'total_adjusted_duration': 0.14962964321143205, 'tempo_ratio': 1.637376089}, 'ah': {'count': 4, 'total_original_duration': 1.915, 'total_adjusted_duration': 0.9033447692504188, 'tempo_ratio': 2.119899362}}}",0002.wav
SAY PAH TAH KAH REPEATEDLY,BUGA GAT BUCGA GAT PUGAGAT BUCE GOT BUG,BOTE THAT BOTHER THAT POLICAD BOE,"{'mean_confidence': 0.9135376811027527, 'min_confidence': 0.24574725329875946, 'max_confidence': 0.9999662637710571}","{'mean_confidence': 0.8417941331863403, 'min_confidence': 0.274921715259552, 'max_confidence': 0.999990701675415}",4.94,3.1280625,1.6,1.2,"{'original_duration': 4.94, 'adjusted_duration': 3.1280625, 'phoneme_stats': {'sil': {'count': 1, 'total_original_duration': 0.59, 'total_adjusted_duration': 0.59, 'tempo_ratio': 1.0}, 'noi': {'count': 2, 'total_original_duration': 0.385, 'total_adjusted_duration': 0.3652131738861311, 'tempo_ratio': 1.05417884}, 'pcl': {'count': 5, 'total_original_duration': 0.915, 'total_adjusted_duration': 0.5480923415434491, 'tempo_ratio': 1.66942672}, 'p': {'count': 6, 'total_original_duration': 0.48, 'total_adjusted_duration': 0.29315195404688726, 'tempo_ratio': 1.637376089}, 'ah': {'count': 14, 'total_original_duration': 1.87, 'total_adjusted_duration': 0.8821173464742994, 'tempo_ratio': 2.119899362}, 'bcl': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.023249011790059317, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.03, 'total_adjusted_duration': 0.017930153738768224, 'tempo_ratio': 1.673159106}, 'g': {'count': 6, 'total_original_duration': 0.5125, 'total_adjusted_duration': 0.3279614319454985, 'tempo_ratio': 1.562683749}, 'gcl': {'count': 3, 'total_original_duration': 0.11000000000000001, 'total_adjusted_duration': 0.08041782452219953, 'tempo_ratio': 1.367855953}}}",0003.wav
RELAX YOUR MOUTH IN ITS NORMAL POSITION,,,"{'mean_confidence': 0.9409055113792419, 'min_confidence': 0.8986709713935852, 'max_confidence': 0.9730441570281982}","{'mean_confidence': 0.9487149119377136, 'min_confidence': 0.9122884273529053, 'max_confidence': 0.9728273153305054}",3.385,3.1991875,1.0,1.0,"{'original_duration': 3.385, 'adjusted_duration': 3.1991875, 'phoneme_stats': {'noi': {'count': 1, 'total_original_duration': 3.3725, 'total_adjusted_duration': 3.1991725426778626, 'tempo_ratio': 1.05417884}}}",0005.wav
JAGGED,YA,TEY,"{'mean_confidence': 0.9835578799247742, 'min_confidence': 0.6007514595985413, 'max_confidence': 0.9999947547912598}","{'mean_confidence': 0.9868201613426208, 'min_confidence': 0.4746280312538147, 'max_confidence': 0.9999955892562866}",3.275,2.790375,1.0,1.0,"{'original_duration': 3.275, 'adjusted_duration': 2.790375, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.4325, 'total_adjusted_duration': 2.3074832350078283, 'tempo_ratio': 1.05417884}, 'jh': {'count': 1, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.15602205971935285, 'tempo_ratio': 1.906781647}, 'ae': {'count': 1, 'total_original_duration': 0.225, 'total_adjusted_duration': 0.12852432161674218, 'tempo_ratio': 1.750641413}, 'g': {'count': 1, 'total_original_duration': 0.31, 'total_adjusted_duration': 0.19837667103044787, 'tempo_ratio': 1.562683749}}}",0006.wav
GRANDFATHER LIKES TO BE MODERN IN HIS LANGUAGE,GO GRANDPA DIN'T LIKE TO BEIN MO MAIN IN ANY HI LEGWING,GUGAT BASN'T LIKE TO BEIN ONE MATIN IN ANY LOBIT,"{'mean_confidence': 0.9281266331672668, 'min_confidence': 0.23761142790317535, 'max_confidence': 0.9999955892562866}","{'mean_confidence': 0.9127745628356934, 'min_confidence': 0.22009001672267914, 'max_confidence': 0.9999942779541016}",10.44,7.2675,1.25,1.0,"{'original_duration': 10.44, 'adjusted_duration': 7.2675, 'phoneme_stats': {'noi': {'count': 4, 'total_original_duration': 3.41, 'total_adjusted_duration': 3.2347452544200177, 'tempo_ratio': 1.05417884}, 'gcl': {'count': 2, 'total_original_duration': 0.31, 'total_adjusted_duration': 0.22663205092619865, 'tempo_ratio': 1.367855953}, 'g': {'count': 1, 'total_original_duration': 0.04, 'total_adjusted_duration': 0.02559698981038037, 'tempo_ratio': 1.562683749}, 'r': {'count': 1, 'total_original_duration': 0.2075, 'total_adjusted_duration': 0.132420881516325, 'tempo_ratio': 1.566973408}, 'ae': {'count': 1, 'total_original_duration': 0.2975, 'total_adjusted_duration': 0.16993771413769243, 'tempo_ratio': 1.750641413}, 'dcl': {'count': 3, 'total_original_duration': 0.3275, 'total_adjusted_duration': 0.21021066406439687, 'tempo_ratio': 1.557960922}, 'd': {'count': 2, 'total_original_duration': 0.0875, 'total_adjusted_duration': 0.04887131660782469, 'tempo_ratio': 1.790416262}, 'f': {'count': 1, 'total_original_duration': 0.125, 'total_adjusted_duration': 0.07665616680167013, 'tempo_ratio': 1.630658109}, 'aa': {'count': 3, 'total_original_duration': 0.6975, 'total_adjusted_duration': 0.3725969527800046, 'tempo_ratio': 1.871995986}, 'dh': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.016806194780605674, 'tempo_ratio': 2.231320087}, 'er': {'count': 2, 'total_original_duration': 0.16, 'total_adjusted_duration': 0.07904281818821328, 'tempo_ratio': 2.024219324}, 'l': {'count': 2, 'total_original_duration': 0.43, 'total_adjusted_duration': 0.23898897335500874, 'tempo_ratio': 1.799246191}, 'ay': {'count': 1, 'total_original_duration': 0.1475, 'total_adjusted_duration': 0.10835360141318483, 'tempo_ratio': 1.361283779}, 'kcl': {'count': 1, 'total_original_duration': 0.0375, 'total_adjusted_duration': 0.019063955446098447, 'tempo_ratio': 1.967062927}, 'k': {'count': 1, 'total_original_duration': 0.1775, 'total_adjusted_duration': 0.08936746978685979, 'tempo_ratio': 1.98618133}, 'tcl': {'count': 1, 'total_original_duration': 0.2025, 'total_adjusted_duration': 0.12087223640583802, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.0975, 'total_adjusted_duration': 0.0591811896370265, 'tempo_ratio': 1.647482935}, 'uw': {'count': 1, 'total_original_duration': 0.2, 'total_adjusted_duration': 0.11079093466560644, 'tempo_ratio': 1.805201848}, 'bcl': {'count': 1, 'total_original_duration': 0.1775, 'total_adjusted_duration': 0.11004532247294743, 'tempo_ratio': 1.612971783}, 'b': {'count': 1, 'total_original_duration': 0.0625, 'total_adjusted_duration': 0.03735448695576714, 'tempo_ratio': 1.673159106}, 'iy': {'count': 1, 'total_original_duration': 0.335, 'total_adjusted_duration': 0.21535778545400927, 'tempo_ratio': 1.555550914}, 'm': {'count': 2, 'total_original_duration': 0.36, 'total_adjusted_duration': 0.20546759533141803, 'tempo_ratio': 1.752101101}, 'n': {'count': 3, 'total_original_duration': 0.38, 'total_adjusted_duration': 0.21864568024413708, 'tempo_ratio': 1.737971679}, 'ih': {'count': 4, 'total_original_duration': 0.505, 'total_adjusted_duration': 0.30335424896204405, 'tempo_ratio': 1.664720378}, 'hh': {'count': 2, 'total_original_duration': 0.215, 'total_adjusted_duration': 0.1492083209483198, 'tempo_ratio': 1.440938405}, 'z': {'count': 1, 'total_original_duration': 0.195, 'total_adjusted_duration': 0.08210932900443295, 'tempo_ratio': 2.374882396}, 'jh': {'count': 2, 'total_original_duration': 0.495, 'total_adjusted_duration': 0.2595997296170745, 'tempo_ratio': 1.906781647}, 'ah': {'count': 2, 'total_original_duration': 0.49249999999999994, 'total_adjusted_duration': 0.23232234927197454, 'tempo_ratio': 2.119899362}, 'ng': {'count': 1, 'total_original_duration': 0.1275, 'total_adjusted_duration': 0.06091384835752286, 'tempo_ratio': 2.093120094}, 'w': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05269302227936291, 'tempo_ratio': 1.755450646}}}",0007.wav
STICKS,DED,EN,"{'mean_confidence': 0.9782558083534241, 'min_confidence': 0.39008766412734985, 'max_confidence': 0.9999896287918091}","{'mean_confidence': 0.9746180176734924, 'min_confidence': 0.3565332889556885, 'max_confidence': 0.999962568283081}",3.045,2.616125,1.0,1.0,"{'original_duration': 3.045, 'adjusted_duration': 2.616125, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.285, 'total_adjusted_duration': 2.1675639021553494, 'tempo_ratio': 1.05417884}, 'tcl': {'count': 1, 'total_original_duration': 0.605, 'total_adjusted_duration': 0.36112445938534316, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.0525, 'total_adjusted_duration': 0.031866794419937346, 'tempo_ratio': 1.647482935}, 'ih': {'count': 1, 'total_original_duration': 0.0925, 'total_adjusted_duration': 0.05556488718611697, 'tempo_ratio': 1.664720378}}}",0008.wav
SLIP,PHEP,FID,"{'mean_confidence': 0.9762686491012573, 'min_confidence': 0.48642250895500183, 'max_confidence': 0.999998927116394}","{'mean_confidence': 0.9804802536964417, 'min_confidence': 0.5444682836532593, 'max_confidence': 0.9999841451644897}",3.13,2.701,1.0,1.0,"{'original_duration': 3.13, 'adjusted_duration': 2.701, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 2.4025, 'total_adjusted_duration': 2.279025065614104, 'tempo_ratio': 1.05417884}, 's': {'count': 1, 'total_original_duration': 0.3625, 'total_adjusted_duration': 0.21513239982896445, 'tempo_ratio': 1.685008861}, 'l': {'count': 1, 'total_original_duration': 0.0575, 'total_adjusted_duration': 0.031957827832355824, 'tempo_ratio': 1.799246191}, 'ih': {'count': 1, 'total_original_duration': 0.0675, 'total_adjusted_duration': 0.040547350108788065, 'tempo_ratio': 1.664720378}, 'pcl': {'count': 1, 'total_original_duration': 0.1275, 'total_adjusted_duration': 0.07637352300195603, 'tempo_ratio': 1.66942672}, 'p': {'count': 1, 'total_original_duration': 0.095, 'total_adjusted_duration': 0.05801965757177977, 'tempo_ratio': 1.637376089}}}",0009.wav
LEFT,LET,LET,"{'mean_confidence': 0.9908401370048523, 'min_confidence': 0.5727052688598633, 'max_confidence': 0.999980092048645}","{'mean_confidence': 0.9890427589416504, 'min_confidence': 0.5795396566390991, 'max_confidence': 0.9999545812606812}",2.395,2.0215,1.0,1.0,"{'original_duration': 2.395, 'adjusted_duration': 2.0215, 'phoneme_stats': {'noi': {'count': 3, 'total_original_duration': 1.687125, 'total_adjusted_duration': 1.6004163012795816, 'tempo_ratio': 1.05417884}, 'l': {'count': 1, 'total_original_duration': 0.1628125, 'total_adjusted_duration': 0.09048928424270318, 'tempo_ratio': 1.799246191}, 'eh': {'count': 1, 'total_original_duration': 0.12575, 'total_adjusted_duration': 0.07947664105392496, 'tempo_ratio': 1.582225901}, 'f': {'count': 1, 'total_original_duration': 0.4094375, 'total_adjusted_duration': 0.2510872743588705, 'tempo_ratio': 1.630658109}}}",0010.wav
RIGHT,WRITE HIM,MT,"{'mean_confidence': 0.9756640791893005, 'min_confidence': 0.5238000750541687, 'max_confidence': 0.9999924898147583}","{'mean_confidence': 0.9602917432785034, 'min_confidence': 0.3503606915473938, 'max_confidence': 0.9999839067459106}",2.365,2.01675,2.0,1.0,"{'original_duration': 2.365, 'adjusted_duration': 2.01675, 'phoneme_stats': {'noi': {'count': 2, 'total_original_duration': 1.6635625, 'total_adjusted_duration': 1.5780647807349273, 'tempo_ratio': 1.05417884}, 'r': {'count': 1, 'total_original_duration': 0.1339375, 'total_adjusted_duration': 0.08547528587032664, 'tempo_ratio': 1.566973408}, 'ay': {'count': 1, 'total_original_duration': 0.146125, 'total_adjusted_duration': 0.10734352546780769, 'tempo_ratio': 1.361283779}, 'tcl': {'count': 1, 'total_original_duration': 0.1023125, 'total_adjusted_duration': 0.061070324381591615, 'tempo_ratio': 1.675322688}, 't': {'count': 1, 'total_original_duration': 0.3044375, 'total_adjusted_duration': 0.18478947097561288, 'tempo_ratio': 1.647482935}}}",0011.wav
